"filename", "language", "C++", "C", "comment", "blank", "total"
"/home/alex/AI_FUZZ/msmtp/src/aliases.c", "C", 0, 224, 33, 48, 305
"/home/alex/AI_FUZZ/msmtp/src/aliases.h", "C++", 10, 0, 35, 6, 51
"/home/alex/AI_FUZZ/msmtp/src/base64.c", "C", 0, 399, 147, 60, 606
"/home/alex/AI_FUZZ/msmtp/src/base64.h", "C++", 32, 0, 20, 17, 69
"/home/alex/AI_FUZZ/msmtp/src/conf.c", "C", 0, 1939, 178, 114, 2231
"/home/alex/AI_FUZZ/msmtp/src/conf.h", "C++", 121, 0, 170, 27, 318
"/home/alex/AI_FUZZ/msmtp/src/eval.c", "C", 0, 60, 26, 13, 99
"/home/alex/AI_FUZZ/msmtp/src/eval.h", "C++", 4, 0, 27, 4, 35
"/home/alex/AI_FUZZ/msmtp/src/gettext.h", "C++", 218, 0, 58, 26, 302
"/home/alex/AI_FUZZ/msmtp/src/list.c", "C", 0, 75, 45, 34, 154
"/home/alex/AI_FUZZ/msmtp/src/list.h", "C++", 16, 0, 59, 16, 91
"/home/alex/AI_FUZZ/msmtp/src/md5-apps.c", "C", 0, 57, 22, 15, 94
"/home/alex/AI_FUZZ/msmtp/src/md5-apps.h", "C++", 8, 0, 34, 6, 48
"/home/alex/AI_FUZZ/msmtp/src/md5.c", "C", 0, 182, 69, 41, 292
"/home/alex/AI_FUZZ/msmtp/src/md5.h", "C++", 21, 0, 27, 7, 55
"/home/alex/AI_FUZZ/msmtp/src/msgid.c", "C", 0, 60, 27, 9, 96
"/home/alex/AI_FUZZ/msmtp/src/msgid.h", "C++", 4, 0, 31, 4, 39
"/home/alex/AI_FUZZ/msmtp/src/msmtp.c", "C", 0, 3793, 361, 266, 4420
"/home/alex/AI_FUZZ/msmtp/src/msmtpd.c", "C", 0, 804, 82, 48, 934
"/home/alex/AI_FUZZ/msmtp/src/mtls-gnutls.c", "C", 0, 595, 98, 60, 753
"/home/alex/AI_FUZZ/msmtp/src/mtls-libtls.c", "C", 0, 419, 81, 74, 574
"/home/alex/AI_FUZZ/msmtp/src/mtls-openssl.c", "C", 0, 769, 163, 91, 1023
"/home/alex/AI_FUZZ/msmtp/src/mtls.c", "C", 0, 148, 55, 34, 237
"/home/alex/AI_FUZZ/msmtp/src/mtls.h", "C++", 63, 0, 165, 29, 257
"/home/alex/AI_FUZZ/msmtp/src/net.c", "C", 0, 955, 131, 118, 1204
"/home/alex/AI_FUZZ/msmtp/src/net.h", "C++", 32, 0, 122, 17, 171
"/home/alex/AI_FUZZ/msmtp/src/netrc.c", "C", 0, 296, 57, 72, 425
"/home/alex/AI_FUZZ/msmtp/src/netrc.h", "C++", 29, 0, 15, 12, 56
"/home/alex/AI_FUZZ/msmtp/src/password.c", "C", 0, 178, 32, 16, 226
"/home/alex/AI_FUZZ/msmtp/src/password.h", "C++", 11, 0, 32, 5, 48
"/home/alex/AI_FUZZ/msmtp/src/readbuf.c", "C", 0, 13, 31, 10, 54
"/home/alex/AI_FUZZ/msmtp/src/readbuf.h", "C++", 11, 0, 31, 6, 48
"/home/alex/AI_FUZZ/msmtp/src/smtp.c", "C", 0, 1781, 310, 166, 2257
"/home/alex/AI_FUZZ/msmtp/src/smtp.h", "C++", 120, 0, 255, 35, 410
"/home/alex/AI_FUZZ/msmtp/src/stream.c", "C", 0, 40, 26, 10, 76
"/home/alex/AI_FUZZ/msmtp/src/stream.h", "C++", 7, 0, 37, 7, 51
"/home/alex/AI_FUZZ/msmtp/src/tools.c", "C", 0, 694, 165, 121, 980
"/home/alex/AI_FUZZ/msmtp/src/tools.h", "C++", 68, 0, 173, 30, 271
"/home/alex/AI_FUZZ/msmtp/src/xalloc.c", "C", 0, 93, 43, 25, 161
"/home/alex/AI_FUZZ/msmtp/src/xalloc.h", "C++", 14, 0, 26, 7, 47
"Total", "-", 789, 13574, 3499, 1706, 19568
